P17096	Q9Y5N6
P17096	Q13416
P17096	Q13415
O43929	Q9Y5N6
O43913	Q9Y5N6
P01130	Q8NBP7
O95251	P53350
P00734	P25116
P01579	Q66793
P23769	P24468
P23772	P24468
P31749	Q14643
P29994	P31749
O15111	Q15796
O15111	P84022
Q09472	Q16665
O43524	Q16665
Q12791	Q6NXK8
Q02242	Q9NZQ7
P41221	Q01973
Q8ML92	Q8WXI2
O95999	P62988
O95999	Q9Y6K9
P19338	Q9Y6D6
P05455	P19338
P31749	Q9UNE7
P10636	P62988
P31749	P62988
P62988	Q9UNE7
P10636	P31749
P10636	Q9UNE7
P60842	Q53EL6
O95352	Q96EB6
Q96EB6	Q9H1Y0
Q96EB6	Q9GZQ8
P05455	Q9Y6D6
P19338	P37198
P19338	P22087
P37198	Q9Y6D6
P22087	Q9Y6D6
O88522	P62988
P23769	Q13547
P17947	P23769
P23769	Q92793
A9QPL8	P62988
P05161	P46934
P12004	P62988
Q8K3Y6	Q92841
P17844	Q8K3Y6
P26651	Q92841
Q92841	Q9NQT5
Q8K3Y6	Q9NQT5
Q92841	Q9NQT4
Q8K3Y6	Q9NQT4
P62988	Q15303
Q15303	Q96J02
P38217	P52272
P35637	P38217
Q92973	Q99383
P32505	Q92973
P31947	Q8WUI4
P00734	P05154
P15917	P53618
P15917	P61923
P62988	Q07812
P55265	Q92900
O75581	P62988
O96433	Q15545
O60563	Q15545
P03204	Q9Y676
P06400	Q9Y676
P00742	P03281
P02768	P55899
P29122	Q9Z1W4
P09958	Q9Z1W4
P01106	P62988
P01106	Q96L91
P46531	Q92585
P46531	Q16665
Q8WUM4	Q9H444
Q9H3S7	Q9H444
Q6UWZ7	Q96RL1
Q5TZ93	Q6UWZ7
Q5TZ93	Q96RL1
P63279	Q9Y265
P10275	Q9Y265
P35398	Q9Y265
P35222	Q9Y265
Q92793	Q9Y265
Q9Y230	Q9Y265
O60936	P04637
Q14D14	Q99996
P18827	P34741
O75056	P18827
O75056	P34741
P31431	P34741
O75056	P31431
P49789	Q9UJU2
P35222	P49789
P35222	Q9UJU2
Q01718	Q8TCY5
Q15233	Q53ET0
P14780	P80188
Q05655	Q9Y2R2
P30307	Q14738
P02687	P51617
Q07820	Q16611
P03406	P08631
O15243	P48357
P10276	Q16236
P17382	P42574
P17382	P55210
A6H4P0	P07910
A6H4P0	Q12906
P07910	Q12906
P53618	Q9Y678
P53618	P61923
P61923	Q9Y678
P12004	Q14527
P61088	Q14527
Q14527	Q15819
Q14527	Q9NS91
P63146	Q14527
Q96L91	Q9Y265
P10686	Q08881
P43220	P49407
P23443	Q05195
Q05195	Q15418
P62988	Q05195
P31749	Q05195
O60784	Q9H0E2
